n	time [ns]
5000	76073
6000	37413
7000	42140
8000	49140
9000	53353
10000	57093
11000	63893
12000	95140
13000	67860
14000	22620
15000	23073
16000	25893
17000	26786
18000	28646
19000	32626
20000	31286
21000	34360
22000	34133
23000	37720
24000	37613
25000	40266
26000	42900
27000	48733
28000	45033
29000	43940
30000	49606
31000	54960
32000	63406
33000	64426
34000	54646
35000	54760
36000	62353
37000	71026
38000	57806
39000	60860
40000	65873
41000	73773
42000	68666
43000	70660
44000	70500
45000	73273
46000	72660
47000	78926
48000	85026
49000	76533
50000	83840
51000	87686
52000	81780
53000	85566
54000	104786
55000	94746
56000	118080
57000	90860
58000	101793
59000	91206
60000	95246
61000	96120
62000	102280
63000	100993
64000	110646
65000	125833
66000	160626
67000	108606
68000	124366
69000	110593
70000	115486
71000	445480
72000	118526
73000	117913
74000	125006
75000	118900
76000	313193
77000	242053
78000	126140
79000	131253
80000	132220
81000	133253
82000	276420
83000	134653
84000	133900
85000	174146
86000	137913
87000	459533
88000	135020
89000	147426
90000	141353
91000	176193
92000	359300
93000	289186
94000	159380
95000	158746
96000	151026
97000	238926
98000	296373
99000	182186
100000	181093
