n	time [ns]
5000	2779513
6000	3105206
7000	3944466
8000	3889080
9000	4826680
10000	5940800
11000	7061973
12000	8303806
13000	9718073
14000	11572846
15000	13093120
16000	14501640
17000	16256286
18000	18123360
19000	20013053
20000	22284186
21000	24387066
22000	26730613
23000	29124400
24000	31650533
25000	34190946
26000	37010820
27000	39718000
28000	42853526
29000	45943093
30000	49024626
31000	52495073
32000	55623073
33000	59151513
34000	62508720
35000	66275100
36000	70072720
37000	73873926
38000	77926593
39000	81940593
40000	86211593
41000	90443080
42000	94949693
43000	99369920
44000	104253500
45000	108946200
46000	114431820
47000	120733606
48000	123681986
49000	129203906
50000	134135913
51000	139165246
52000	145028606
53000	150531906
54000	156450606
55000	163086093
56000	168267326
57000	174106373
58000	180397533
59000	185944260
60000	193130113
61000	198679153
62000	205255140
63000	212389106
64000	219206806
65000	225503720
66000	232889906
67000	239525960
68000	247586546
69000	256954800
70000	262321980
71000	268943333
72000	277635240
73000	284308080
74000	293258086
75000	300323700
76000	309236393
77000	317391186
78000	325694660
79000	333076706
80000	345288300
81000	351162066
82000	366090266
83000	369458186
84000	402136153
85000	412619640
86000	420901706
87000	418456133
88000	414792926
89000	422773873
90000	432504006
91000	441188286
92000	456654500
93000	498555326
94000	555084493
95000	561637526
96000	542211120
97000	535494046
98000	549700233
99000	564299260
100000	577093406
