n	time [ns]
5000	7404406
6000	7098006
7000	8218326
8000	11186960
9000	13559893
10000	17101766
11000	20170966
12000	23744686
13000	27361866
14000	31831333
15000	36233260
16000	41139813
17000	46389580
18000	52030953
19000	57581973
20000	63934893
21000	70518160
22000	77173773
23000	84801240
24000	91830446
25000	99367920
26000	107707080
27000	115714513
28000	124441200
29000	133721546
30000	143345540
31000	152819353
32000	163075006
33000	173053386
34000	184156466
35000	195484173
36000	206349220
37000	218819606
38000	229881766
39000	242437380
40000	255364353
41000	268672500
42000	284367520
43000	295875613
44000	309284753
45000	323141226
46000	337387960
47000	353018480
48000	366649626
49000	382899746
50000	399436113
51000	415975260
52000	432755166
53000	451688293
54000	469022166
55000	484902320
56000	504233940
57000	520571553
58000	538310433
59000	556423593
60000	575972960
61000	598705833
62000	614046533
63000	634808120
64000	655508006
65000	676479606
66000	697496020
67000	721291353
68000	740056686
69000	763351026
70000	784967513
71000	806772740
72000	832025406
73000	852773200
74000	876168233
75000	900187606
76000	923923786
77000	951594106
78000	973825120
79000	998600146
80000	1023738473
81000	1057339893
82000	1078388133
83000	1103074760
84000	1132128033
85000	1156767773
86000	1184429673
87000	1211309980
88000	1242452780
89000	1267884586
90000	1296815906
91000	1328200593
92000	1353556360
93000	1384094680
94000	1416975280
95000	1444124006
96000	1474472633
97000	1519589740
98000	1539510913
99000	1570830306
100000	1606557913
