n	time [ns]
5000	13155973
6000	14510626
7000	14789126
8000	20158186
9000	25753113
10000	30169740
11000	36138320
12000	42863973
13000	50466566
14000	58552180
15000	66197740
16000	76428806
17000	84337746
18000	93031233
19000	104096166
20000	115005380
21000	128586060
22000	146677860
23000	162346320
24000	167103073
25000	179009660
26000	196026320
27000	211519840
28000	224280793
29000	242581833
30000	256620526
31000	276830600
32000	295484073
33000	319018793
34000	330740986
35000	354190413
36000	373350526
37000	397351213
38000	418365080
39000	440234726
40000	462413466
41000	484840366
42000	514901673
43000	533212320
44000	562012933
45000	585328126
46000	612304920
47000	638343080
48000	666229526
49000	696681893
50000	741614793
51000	756192453
52000	780161900
53000	813160720
54000	858544560
55000	883072526
56000	917301053
57000	955442726
58000	982019773
59000	1013211260
60000	1046370440
61000	1091255213
62000	1175029460
63000	1169647920
64000	1220109713
65000	1275711293
66000	1306947186
67000	1382031406
68000	1348046313
69000	1379036873
70000	1432671626
71000	1481512013
72000	1512722133
73000	1572390353
74000	1748422233
75000	1729247766
76000	1753475073
77000	1843211980
78000	1983012033
79000	1996001646
80000	1978327166
81000	2081768313
82000	1983437360
83000	2203371920
84000	2155333160
85000	2231273553
86000	2344172513
87000	2354227566
88000	2335676066
89000	2421333380
90000	2438316600
91000	2600430313
92000	2687408100
93000	2777207026
94000	2827930273
95000	3016681540
96000	3114136586
97000	3187076040
98000	3142828060
99000	2958411773
100000	3041530753
